Brazil	3.6£841	3.65£6500	3.7£12549	3.75£3658	3.8£9460	3.85£4812
Spain	7.8£672	8£1212	8.2£9232	8.4£3325	8.6£3568	8.8£161
France	8£3313	8.2£9913	8.4£7099	8.6£4109	8.8£4310	9£447
England	8£2125	8.2£10849	8.4£5720	8.6£3337	8.8£3452	9£291
Argentina	9.8£513	10£4035	10.5£6529	11£1341	11.5£2352	12£323
Portugal	13£989	13.5£326	14£2189	15£2591	15.5£600	16£18
Netherlands	14£304	14.5£2882	15£3072	15.5£3206	16£2850	16.5£10
Belgium	24£872	25£710	26£1107	27£1212	28£279	29£27
Germany	29£651	30£925	32£917	34£961	36£318	38£33
Denmark	46£4	48£74	50£1343	55£773	60£196	65£10
Uruguay	70£697	75£155	80£99	90£175	110£14	190£5
Croatia	100£851	110£139	120£256	130£156	140£108	150£3
Switzerland	110£40	120£311	130£171	140£166	150£91	200£4
Serbia	160£94	180£21	190£14	210£1	230£8	250£49
Japan	130£126	140£186	150£208	160£259	170£2	190£4
Ecuador	180£216	200£404	210£11	220£59	230£172	250£3
Mexico	210£380	220£53	230£19	240£2	250£103	260£23
USA	300£148	310£35	320£7	330£69	340£1	350£29
Morocco	320£19	330£30	340£8	350£3	360£14	400£10
Senegal	320£100	330£44	340£12	350£32	360£20	400£10
Wales	370£2	380£56	390£52	400£3	410£69	420£600
Saudi Arabia	380£25	390£26	400£97	420£5	430£12	440£13
Poland	450£85	460£8	480£10	500£4	510£51	530£1
South Korea	480£21	490£2	500£2	510£3	520£4	530£4
Canada	530£3	550£22	560£2	580£8	590£17	600£5
Tunisia	880£12	910£18	920£7			
Cameroon	600£2	800£1	1000£486			
Ghana	360£1	430£2	1000£377			
Qatar	600£20	610£2	1000£762			
Iran	500£1	510£1	1000£692			
Australia	840£1	910£1	1000£180			
Costa Rica	700£2	990£6	1000£753			