Brazil	1.16€3010	1.17€231	1.18€33	1.24€1277	1.3€2600	1.4€188
England	1.23€2094	1.25€115	1.26€38	1.29€47	1.3€1041	1.32€96
France	1.27€35	1.28€1728	1.3€17	1.36€1156	1.37€559	1.4€23
Spain	1.3€58	1.31€1559	1.35€43	1.41€337	1.44€29	1.46€122
Netherlands	1.41€58	1.42€363	1.43€12	1.45€56	1.47€199	1.5€16
Portugal	1.43€35	1.44€1129	1.48€26	1.5€16	1.57€23	1.79€5
Argentina	1.84€317	1.87€35	1.88€403	1.9€60	2.02€18	2.06€792
Germany	1.9€500	1.93€26	1.97€50	2.02€12	2.06€504	
USA	2.98€35	3€185	3.1€13	3.7€228	3.75€11	4€100
Croatia		3.25€254	3.6€17	3.7€385	3.75€102	4.5€16
Denmark	3.7€14	3.95€35	4€105	4.2€359	4.3€95	4.5€11
Senegal	3.95€40	4€225	4.3€71	5€11	38€100	
Morocco	3.95€198	4€35	4.1€72	4.5€446	4.6€180	4.8€17
Switzerland	4.1€35	4.2€316	4.3€386	4.7€11	4.9€17	6€5
Poland		4.2€185	4.3€68	5.2€18	5.3€148	5.4€24
Belgium	5.3€29	5.4€39	5.5€258	5.8€32	6.6€126	
Serbia	7.6€18	7.8€95	8€247	9€28	9.6€99	13€7
Uruguay	7.8€80	8.2€26	8.4€173	10.5€59	11€11	
Australia	9.6€49	9.8€25	10€67	15€11		
Japan	11€11	13€50	13.5€92	20€13		
Ghana	6.6€23	10€58	14€54	20€8		
Mexico	10€33	13€49	14.5€63	21€13		
Saudi Arabia	13.5€43	14€28	16.5€46	22€11	24€4	
South Korea	21€11	38€41	40€15	100€5		
Costa Rica	26€11	28€20	40€53	90€66	150€5	
Tunisia		30€8	50€46	100€7		
Cameroon		25€20	100€20	240€36	250€2	